らち	ɾ a̠ t͡ɕ i
しんらばんしょう	ɕ ĩ n ɾ a̠ b ã̠ ɰ̃ ɕ o̞ː
したたか	ɕ i t a̠ t a̠ k a̠
とにち	t o̞ ɲ̟ i t͡ɕ i
クラファン	k ɯ̟ᵝ ɾ a̠ ɸ ã̠ ɴ
どじょう	d o̞ ʑ o̞ː
ざとう	d͡z a̠ t o̞ː
アセナフテン	a̠ s e̞ n a̠ ɸ ɯ̟ᵝ t ẽ̞ ɴ
ぐんぷく	ɡ ɯ̟̃ᵝ m p ɯ̟ᵝ k ɯ̟ᵝ
りゃくご	ɾʲ a̠ k ɯ̟ᵝ ɡ o̞
ひらめ	ç i ɾ a̠ m e̞
よふね	j o̞ ɸ ɯ̟ᵝ n e̞
ていしょとくそう	t e̞ː ɕ o̞ t o̞ k ɯ̟ᵝ s o̞ː
なんきんまめ	n ã̠ ŋʲ kʲ ĩ mː a̠ m e̞
ちょくせつ	t͡ɕ o̞ k ɯ̟ᵝ s e̞ t͡s ɨᵝ
かくし	k a̠ k ɯ̟ᵝ ɕ i
いそ	i s o̞
エータ	e̞ː t a̠
たみ	t a̠ mʲ i
バレル	b a̠ ɾ e̞ ɾ ɯ̟ᵝ
かざかみ	k a̠ z a̠ k a̠ mʲ i
ながさき	n a̠ ɡ a̠ s a̠ kʲ i
はや	h a̠ j a̠
やこううん	j a̠ k o̞ː ɯ̟̃ᵝ ɴ
ちょうがたべん	t͡ɕ o̞ː ɡ a̠ t a̠ b ẽ̞ ɴ
ぜったいさいしょくしゅぎしゃ	d͡z e̞ t̚ t a̠ i s a̠ i ɕ o̞ k ɯ̟ᵝ ɕ ɨᵝ ɡʲ i ɕ a̠
まいしゅう	m a̠ i ɕ ɨᵝː
しゅひ	ɕ ɨᵝ ç i
ボータイ	b o̞ː t a̠ i
すなお	s ɨᵝ n a̠ o̞
またぐ	m a̠ t a̠ ɡ ɯ̟ᵝ
モガディシュ	m o̞ ɡ a̠ dʲ i ɕ ɨᵝ
ちえぶくろ	t͡ɕ i e̞ b ɯ̟ᵝ k ɯ̟ᵝ ɾ o̞
くじらざ	k ɯ̟ᵝ ʑ i ɾ a̠ z a̠
ほうしゃのうおせん	h o̞ː ɕ a̠ n o̞ː o̞ s ẽ̞ ɴ
ねつけ	n e̞ t͡s ɨ̥ᵝ k e̞
まるで	m a̠ ɾ ɯ̟ᵝ d e̞
せいしょ	s e̞ː ɕ o̞
がんりょう	ɡ ã̠ n ɾʲ o̞ː
せんえつ	s ẽ̞ ɰ̃ e̞ t͡s ɨᵝ
にくしん	ɲ̟ i k ɯ̟̊ᵝ ɕ ĩ ɴ
ブルマー	b ɯ̟ᵝ ɾ ɯ̟ᵝ m a̠ː
あいじん	a̠ i ʑ ĩ ɴ
キャラバン	kʲ a̠ ɾ a̠ b ã̠ ɴ
ひがし	ç i ɡ a̠ ɕ i
ショッピング	ɕ o̞ p̚ʲ pʲ ĩ ŋ ɡ ɯ̟ᵝ
こくないそうせいさん	k o̞ k ɯ̟ᵝ n a̠ i s o̞ː s e̞ː s ã̠ ɴ
リボフラビン	ɾʲ i b o̞ ɸ ɯ̟ᵝ ɾ a̠ bʲ ĩ ɴ
セウト	s e̞ ɯ̟ᵝ t o̞
いしわた	i ɕ i ɰᵝ a̠ t a̠
かわほりおうぎ	k a̠ ɰᵝ a̠ h o̞ ɾʲ i o̞ː ɡʲ i
やんばるくいな	j ã̠ m b a̠ ɾ ɯ̟ᵝ k ɯ̟ᵝ i n a̠
ようりょく	j o̞ː ɾʲ o̞ k ɯ̟ᵝ
ルナール	ɾ ɯ̟ᵝ n a̠ː ɾ ɯ̟ᵝ
ふたば	ɸ ɯ̟ᵝ t a̠ b a̠
きょうにん	kʲ o̞ː ɲ̟ ĩ ɴ
だんじょびょうどう	d ã̠ ɲ̟ d͡ʑ o̞ bʲ o̞ː d o̞ː
やりきる	j a̠ ɾʲ i kʲ i ɾ ɯ̟ᵝ
みやぶ	mʲ i j a̠ b ɯ̟ᵝ
かぎや	k a̠ ɡʲ i j a̠
ノーマル	n o̞ː m a̠ ɾ ɯ̟ᵝ
だぜい	d a̠ z e̞ː
やきとり	j a̠ kʲ i t o̞ ɾʲ i
けんさつ	k ẽ̞ ɰ̃ s a̠ t͡s ɨᵝ
たけひこ	t a̠ k e̞ ç i k o̞
ちばしる	t͡ɕ i b a̠ ɕ i ɾ ɯ̟ᵝ
はなれる	h a̠ n a̠ ɾ e̞ ɾ ɯ̟ᵝ
みのほど	mʲ i n o̞ h o̞ d o̞
フェアユース	ɸ e̞ a̠ j ɯ̟ᵝː s ɨᵝ
えいれい	e̞ː ɾ e̞ː
じゅうぞく	d͡ʑ ɨᵝː z o̞ k ɯ̟ᵝ
ながれこむ	n a̠ ɡ a̠ ɾ e̞ k o̞ m ɯ̟ᵝ
こくひょう	k o̞ k ɯ̟̊ᵝ ç o̞ː
きんぺいばい	kʲ ĩ m p e̞ː b a̠ i
こうかんしんけい	k o̞ː k ã̠ ɰ̃ ɕ ĩ ŋ k e̞ː s e̞ t͡s ɨᵝ
きをおとす	kʲ i o̞ o̞ t o̞ s ɨᵝ
わかす	ɰᵝ a̠ k a̠ s ɨᵝ
うこっけい	ɯ̟ᵝ k o̞ k̚ k e̞ː
ラズベリー	ɾ a̠ z ɨᵝ b e̞ ɾʲ iː
あまいろ	a̠ m a̠ i ɾ o̞
ぎんこう	ɡʲ ĩ ŋ k o̞ː
さいろく	s a̠ i ɾ o̞ k ɯ̟ᵝ
けものみち	k e̞ m o̞ n o̞ mʲ i t͡ɕ i
ジャック	d͡ʑ a̠ k̚ k ɯ̟ᵝ
きせい	kʲ i s e̞ː
しょくえん	ɕ o̞ k ɯ̟ᵝ ẽ̞ ɴ
おとこまさり	o̞ t o̞ k o̞ m a̠ s a̠ ɾʲ i
きゅうげき	kʲ ɨᵝː ɡ e̞ kʲ i
イ	i
ふらの	ɸ ɯ̟ᵝ ɾ a̠ n o̞
ティースプーン	tʲ iː s ɨ̥ᵝ p ɯ̟̃ᵝː ɴ
むぎょう	m ɯ̟ᵝ ɡʲ o̞ː
フェレット	ɸ e̞ ɾ e̞ t̚ t o̞
とうちゃん	t o̞ː t͡ɕ ã̠ ɴ
このたび	k o̞ n o̞ t a̠ bʲ i
わがし	ɰᵝ a̠ ɡ a̠ ɕ i
かぶとむし	k a̠ b ɯ̟ᵝ t o̞ m ɯ̟ᵝ ɕ i
キャンプサイト	kʲ ã̠ m p ɯ̟ᵝ s ḁ i t o̞
ししゃく	ɕ i̥ ɕ a̠ k ɯ̟ᵝ
スキャンダル	s ɨ̥ᵝ kʲ ã̠ n d a̠ ɾ ɯ̟ᵝ
エルシーディー	e̞ ɾ ɯ̟ᵝ ɕ iː dʲ iː
ふぁぼ	ɸ a̠ b o̞
はだかまいり	h a̠ d a̠ k a̠ m a̠ i ɾʲ i
ぶき	b ɯ̟ᵝ kʲ i
クリスマスツリー	k ɯ̟ᵝ ɾʲ i s ɨᵝ m a̠ s ɨᵝ ̥ t͡s ɨᵝ ɾʲ iː
なおる	n a̠ o̞ ɾ ɯ̟ᵝ
コンマ	k õ̞ mː a̠
スカトロ	s ɨᵝ k a̠ t o̞ ɾ o̞
オストメイト	o̞ s ɨᵝ t o̞ m e̞ː t o̞
ライフサイクル	ɾ a̠ i ɸ ɯ̟ᵝ s a̠ i k ɯ̟ᵝ ɾ ɯ̟ᵝ
エーディーエスエル	e̞ː dʲ iː e̞ s ɨᵝ e̞ ɾ ɯ̟ᵝ
バックミラー	b a̠ k̚ k ɯ̟ᵝ mʲ i ɾ a̠ː
れつご	ɾ e̞ t͡s ɨᵝ ɡ o̞
きょういくがく	kʲ o̞ː i k ɯ̟ᵝ ɡ a̠ k ɯ̟ᵝ
テクスト	t e̞ k ɯ̟ᵝ s ɨ̥ᵝ t o̞
ちかん	t͡ɕ i k ã̠ ɴ
アイコンタクト	a̠ i k õ̞ n t a̠ k ɯ̟ᵝ t o̞
こうずい	k o̞ː z ɨᵝ i
あおざめ	a̠ o̞ z a̠ m e̞
にらむ	ɲ̟ i ɾ a̠ m ɯ̟ᵝ
いっさんかたんそ	i sː ã̠ ŋ k a̠ t ã̠ ɰ̃ s o̞
ひとごえ	ç i̥ t o̞ ɡ o̞ e̞
むろらん	m ɯ̟ᵝ ɾ o̞ ɾ ã̠ ɴ
おきなわ	o̞ kʲ i n a̠ ɰᵝ a̠
はんしゃきょう	h ã̠ ɰ̃ ɕ a̠ kʲ o̞ː
そこぬけ	s o̞ k o̞ n ɯ̟ᵝ k e̞
ふうしゅう	ɸ ɯ̟ᵝː ɕ ɨᵝː
どくせいがく	d o̞ k ɯ̟̊ᵝ s e̞ː ɡ a̠ k ɯ̟ᵝ
そくびょうい	s o̞ k ɯ̟ᵝ j o̞ː i
しらせる	ɕ i ɾ a̠ s e̞ ɾ ɯ̟ᵝ
ポーン	p õ̞ː ɴ
こいし	k o̞ i ɕ i
いっしょ	i ɕː o̞
まる	m a̠ ɾ ɯ̟ᵝ
コースター	k o̞ː s ɨ̥ᵝ t a̠ː
あけび	a̠ k e̞ bʲ i
なたねあぶら	n a̠ t a̠ n e̞ a̠ b ɯ̟ᵝ ɾ a̠
しきし	ɕ i kʲ i ɕ i
ギー	ɡʲ iː
めす	m e̞ s ɨᵝ
つゆ	t͡s ɨᵝ j ɯ̟ᵝ
あぶら	a̠ b ɯ̟ᵝ ɾ a̠
すいそばくだん	s ɨᵝ i s o̞ b a̠ k ɯ̟ᵝ d ã̠ ɴ
こども	k o̞ d o̞ m o̞
かんじご	k ã̠ ɲ̟ d͡ʑ i ɡ o̞
じんじゅうきょうつうかんせんしょう	d͡ʑ ĩ ɲ̟ d͡ʑ ɨᵝː kʲ o̞ː t͡s ɨᵝː k ã̠ ɰ̃ s ẽ̞ ɰ̃ ɕ o̞ː
とうとい	t o̞ː t o̞ i
こうげん	k o̞ː ɡ ẽ̞ ɴ
おんなぞくちょう	õ̞ nː a̠ d͡z o̞ k ɯ̟ᵝ t͡ɕ o̞ː
エベント	e̞ b ẽ̞ n t o̞
ゆうきゅう	j ɯ̟ᵝː kʲ ɨᵝː
こずえ	k o̞ z ɨᵝ e̞
かんがん	k ã̠ ŋ ɡ ã̠ ɴ
ニックネーム	ɲ̟ i k̚ k ɯ̟ᵝ n e̞ː m ɯ̟ᵝ
ボルシチ	b o̞ ɾ ɯ̟ᵝ ɕ i̥ t͡ɕ i
だんそう	d ã̠ ɰ̃ s o̞ː
ふくめる	ɸ ɯ̟ᵝ k ɯ̟ᵝ m e̞ ɾ ɯ̟ᵝ
ルーレット	ɾ ɯ̟ᵝː ɾ e̞ t̚ t o̞
キャンプファイア	kʲ ã̠ m p ɯ̟ᵝ ɸ ḁ i a̠
くちべに	k ɯ̟̊ᵝ t͡ɕ i b e̞ ɲ̟ i
なんみん	n ã̠ mʲː ĩ ɴ
ほる	h o̞ ɾ ɯ̟ᵝ
しょくん	ɕ o̞ k ɯ̟̃ᵝ ɴ
ありうる	a̠ ɾʲ i ɯ̟ᵝ ɾ ɯ̟ᵝ
トークン	t o̞ː k ɯ̟̃ᵝ ɴ
ふかし	ɸ ɯ̟ᵝ k a̠ ɕ i
たら	t a̠ ɾ a̠
すえおき	s ɨᵝ e̞ o̞ kʲ i
かわる	k a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
ないじゅ	n a̠ i ʑ ɨᵝ
テレパシー	t e̞ ɾ e̞ p a̠ ɕ iː
マスタープラン	m a̠ s ɨᵝ t a̠ː p ɯ̟ᵝ ɾ ã̠ ɴ
ひつよう	ç i t͡s ɨᵝ j o̞ː
ミー	mʲ iː
ブイ	b ɯ̟ᵝ i
さぞ	s a̠ z o̞
おいうつ	o̞ i ɯ̟ᵝ t͡s ɨᵝ
おやこ	o̞ j a̠ k o̞
まかい	m a̠ k a̠ i
ゆうおう	j ɯ̟ᵝː o̞ː
はんぶん	h ã̠ m b ɯ̟̃ᵝ ɴ
りくつづき	ɾʲ i k ɯ̟̊ᵝ t͡s ɨᵝ z ɨᵝ kʲ i
じえいたい	d͡ʑ i e̞ː t a̠ i
モッツァレラ	m o̞ t̚ t͡s a̠ ɾ e̞ ɾ a̠
なきむし	n a̠ kʲ i m ɯ̟ᵝ ɕ i
ぎてい	ɡʲ i t e̞ː
ほしこ	h o̞ ɕ i k o̞
ぶんさん	b ɯ̟̃ᵝ ɰ̃ s ã̠ ɴ
ずる	d͡z ɨᵝ ɾ ɯ̟ᵝ
ちょろい	t͡ɕ o̞ ɾ o̞ i
おれ	o̞ ɾ e̞
たく	t a̠ k ɯ̟ᵝ
うえもんふ	ɯ̟ᵝ e̞ m õ̞ ɰ̃ ɸ ɯ̟ᵝ
しゅうだんか	ɕ ɨᵝː d ã̠ ŋ k a̠
って	t̚ t e̞
あねぶん	a̠ n e̞ b ɯ̟̃ᵝ ɴ
ハットトリック	h a̠ t̚ t o̞ t o̞ ɾʲ i k̚ k ɯ̟ᵝ
いかけ	i k a̠ k e̞
しゅうそく	ɕ ɨᵝː s o̞ k ɯ̟ᵝ
だいいち	d a̠ i i t͡ɕ i
ダックバーグ	d a̠ k̚ k ɯ̟ᵝ b a̠ː ɡ ɯ̟ᵝ
ハーフ	h a̠ː ɸ ɯ̟ᵝ
カレーライス	k a̠ ɾ e̞ː ɾ a̠ i s ɨᵝ
たりかつよう	t a̠ ɾʲ i k a̠ t͡s ɨᵝ j o̞ː
くわえて	k ɯ̟ᵝ ɰᵝ a̠ e̞ t e̞
うんも	ɯ̟̃ᵝ mː o̞
びょうゆう	bʲ o̞ː j ɯ̟ᵝː
こうけつあつ	k o̞ː k e̞ t͡s ɨᵝ a̠ t͡s ɨᵝ
エクスビビット	e̞ k ɯ̟ᵝ s ɨᵝ bʲ i bʲ i t̚ t o̞
ひきこなす	ç i kʲ i k o̞ n a̠ s ɨᵝ
たけみや	t a̠ k e̞ mʲ i j a̠
とてい	t o̞ t e̞ː
パワー	p a̠ ɰᵝ a̠ː
ぜんや	d͡z ẽ̞ ɰ̃ j a̠
にゅうしゅ	ɲ̟ ɯ̟ᵝː ɕ ɨᵝ
ふぉ	ɸ o̞
あとまわし	a̠ t o̞ m a̠ ɰᵝ a̠ ɕ i
カルマ	k a̠ ɾ ɯ̟ᵝ m a̠
はちぶんぎざ	h a̠ t͡ɕ i b ɯ̟̃ᵝ ŋʲ ɡʲ i z a̠
なんきょくかい	n ã̠ ŋʲ kʲ o̞ k ɯ̟ᵝ k a̠ i
へんしゅうちょう	h ẽ̞ ɰ̃ ɕ ɨᵝː t͡ɕ o̞ː
げんかく	ɡ ẽ̞ ŋ k a̠ k ɯ̟ᵝ
きんけい	kʲ ĩ ŋ k e̞ː
きぎょう	kʲ i ɡʲ o̞ː
プロメチウム	p ɯ̟ᵝ ɾ o̞ m e̞ t͡ɕ i ɯ̟ᵝ m ɯ̟ᵝ
ぶどうしゅ	b ɯ̟ᵝ d o̞ː ɕ ɨᵝ
ダウジング	d a̠ ɯ̟ᵝ ʑ ĩ ŋ ɡ ɯ̟ᵝ
ひにょうき	ç i ɲ̟ o̞ː kʲ i
らんぼう	ɾ ã̠ m b o̞ː
やっぱり	j a̠ p̚ p a̠ ɾʲ i
とけん	t o̞ k ẽ̞ ɴ
くわえる	k ɯ̟ᵝ ɰᵝ a̠ e̞ ɾ ɯ̟ᵝ
ちょくぜん	t͡ɕ o̞ k ɯ̟ᵝ z ẽ̞ ɴ
にだい	ɲ̟ i d a̠ i
うんでい	ɯ̟̃ᵝ n d e̞ː
うすいほん	ɯ̟ᵝ s ɨᵝ i h õ̞ ɴ
ワイドスクリーン	ɰᵝ a̠ i d o̞ s ɨᵝ k ɯ̟ᵝ ɾʲ ĩː ɴ
ブースター	b ɯ̟ᵝː s ɨᵝ t a̠ː
ブルーズ	b ɯ̟ᵝ ɾ ɯ̟ᵝː z ɨᵝ
パースニップ	p a̠ː s ɨᵝ ɲ̟ i p̚ p ɯ̟ᵝ
レンジ	ɾ ẽ̞ ɲ̟ d͡ʑ i
べろ	b e̞ ɾ o̞
カシミール	k a̠ ɕ i mʲ iː ɾ ɯ̟ᵝ
けいいち	k e̞ iː t͡ɕ i
けいた	k e̞ː t a̠
ヴァージョン	b a̠ː ʑ õ̞ ɴ
そんしつ	s õ̞ ɰ̃ ɕ i t͡s ɨᵝ
ひょうげんがた	ç o̞ː ɡ ẽ̞ ŋ ɡ a̠ t a̠
パネェ	p a̠ n e̞ː
まめでんきゅう	m a̠ m e̞ d ẽ̞ ŋʲ kʲ ɨᵝː
あほう	a̠ h o̞ː
ゆう	j ɯ̟ᵝː
にゅうこう	ɲ̟ ɯ̟ᵝː k o̞ː
ちゅうふく	t͡ɕ ɨᵝː ɸ ɯ̟ᵝ k ɯ̟ᵝ
いずこ	i z ɨᵝ k o̞
いんが	ĩ ŋ ɡ a̠
におう	ɲ̟ i o̞ ɯ̟ᵝ
てんけん	t ẽ̞ ŋ k ẽ̞ ɴ
かけつ	k a̠ k e̞ t͡s ɨᵝ
はかいかつどう	h a̠ k a̠ i k a̠ t͡s ɨᵝ d o̞ː
むかう	m ɯ̟ᵝ k a̠ ɯ̟ᵝ
さいぎょう	s e̞ː k o̞ː
まっき	m a̠ k̚ʲ kʲ i
かりる	k a̠ ɾʲ i ɾ ɯ̟ᵝ
ゆうそう	j ɯ̟ᵝː s o̞ː
どたんば	d o̞ t ã̠ m b a̠
こばと	k o̞ b a̠ t o̞
こわだか	k o̞ ɰᵝ a̠ d a̠ k a̠
もうそう	m o̞ː s o̞ː
ねこ	n e̞ k o̞
こうる	k o̞ː ɾ ɯ̟ᵝ
よくぶかい	j o̞ k ɯ̟ᵝ b ɯ̟ᵝ k a̠ i
ざんきょう	d͡z ã̠ ŋʲ kʲ o̞ː
なり	n a̠ ɾʲ i
みちのり	mʲ i t͡ɕ i n o̞ ɾʲ i
ひしゃかいしんど	ç i̥ ɕ a̠ k a̠ i ɕ ĩ n d o̞
しぼりこむ	ɕ i b o̞ ɾʲ i k o̞ m ɯ̟ᵝ
グロリア	ɡ ɯ̟ᵝ ɾ o̞ ɾʲ i a̠
かいはくしつ	k a̠ i h a̠ k ɯ̟ᵝ ɕ i̥ t͡s ɨᵝ
ぼうふり	b o̞ː ɸ ɯ̟ᵝ ɾʲ i
ジュテーム	d͡ʑ ɨᵝ t e̞ː m ɯ̟ᵝ
にじゅういち	ɲ̟ i ʑ ɨᵝː i t͡ɕ i
くれ	k ɯ̟ᵝ ɾ e̞
おいご	o̞ i ŋ o̞
ショール	ɕ o̞ː ɾ ɯ̟ᵝ
うんだめし	ɯ̟̃ᵝ n d a̠ m e̞ ɕ i
はらえど	h a̠ ɾ a̠ e̞ d o̞
くだりざか	k ɯ̟ᵝ d a̠ ɾʲ i z a̠ k a̠
はしごだか	h a̠ ɕ i ɡ o̞ d a̠ k a̠
かぐらすず	k a̠ ɡ ɯ̟ᵝ ɾ a̠ s ɨᵝ z ɨᵝ
かこうきりゅう	k a̠ k o̞ː kʲ i ɾʲ ɨᵝː
けいふ	k e̞ː ɸ ɯ̟ᵝ
おしい	o̞ ɕ i i
こきゅうてん	k o̞ kʲ ɨᵝː t ẽ̞ ɴ
イスラーム	i s ɨᵝ ɾ a̠ː m ɯ̟ᵝ
キャラクター	kʲ a̠ ɾ a̠ k ɯ̟̊ᵝ t a̠ː
よくじつ	j o̞ k ɯ̟ᵝ ʑ i t͡s ɨᵝ
まっさつ	m a̠ sː a̠ t͡s ɨᵝ
よそみ	j o̞ s o̞ mʲ i
スラッシュ	s ɨᵝ ɾ a̠ ɕː ɯ̟ᵝ
ぐり	ɡ ɯ̟ᵝ ɾʲ i
かがくりょうろん	k a̠ ɡ a̠ k ɯ̟ᵝ ɾʲ o̞ː ɾ õ̞ ɴ
もくようび	m o̞ k ɯ̟ᵝ j o̞ː bʲ i
ぼんしょう	b õ̞ ɰ̃ ɕ o̞ː
バングラデシュ	b ã̠ ŋ ɡ ɯ̟ᵝ ɾ a̠ d e̞ ɕ ɨᵝ
マイトネリウム	m a̠ i t o̞ n e̞ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
みずいらず	mʲ i z ɨᵝ i ɾ a̠ z ɨᵝ
インスタ	ĩ ɰ̃ s ɨᵝ t a̠
はくとうわし	h a̠ k ɯ̟̊ᵝ t o̞ː ɰᵝ a̠ ɕ i
ようきし	j o̞ː kʲ i ɕ i
フィレミニョン	ɸʲ i ɾ e̞ mʲ i ɲ̟ õ̞ ɴ
きば	kʲ i b a̠
はとば	h a̠ t o̞ b a̠
とうざい	t o̞ː z a̠ i
せいぶん	s e̞ː b ɯ̟̃ᵝ ɴ
ていたいせき	t e̞ː t a̠ i s e̞ kʲ i
ぎくんし	ɡʲ i k ɯ̟̃ᵝ ɰ̃ ɕ i
アーカイバー	a̠ː k a̠ i b a̠ː
せきじゅん	s e̞ kʲ i ʑ ɨ̃ᵝ ɴ
えんせいしゅぎ	ẽ̞ ɰ̃ s e̞ː ɕ ɨᵝ ɡʲ i
アップローダー	a̠ p̚ p ɯ̟ᵝ ɾ o̞ː d a̠ː
りんびょう	ɾʲ ĩ m bʲ o̞ː
とびうお	t o̞ bʲ i ɯ̟ᵝ o̞
こっぱい	k o̞ p̚ p a̠ i
じゅうじ	d͡ʑ ɨᵝː ʑ i
しめい	ɕ i m e̞ː
しか	ɕ i̥ k a̠
チッス	t͡ɕ i sː ɯ̟ᵝ
あまい	a̠ m a̠ i
まとう	m a̠ t o̞ ɯ̟ᵝ
ぎし	ɡʲ i ɕ i
しじょう	ɕ i ʑ o̞ː
ほおべた	h o̞ː b e̞ t a̠
とびちる	t o̞ bʲ i t͡ɕ i ɾ ɯ̟ᵝ
あみてん	a̠ mʲ i t ẽ̞ ɴ
すでに	s ɨᵝ d e̞ ɲ̟ i
ほたい	h o̞ t a̠ i
つけこむ	t͡s ɨᵝ k e̞ k o̞ m ɯ̟ᵝ
ねずみざん	n e̞ z ɨᵝ mʲ i z ã̠ ɴ
センテンス	s ẽ̞ n t ẽ̞ ɰ̃ s ɨᵝ
たんようき	t ã̠ ɰ̃ j o̞ː kʲ i
むらがる	m ɯ̟ᵝ ɾ a̠ ɡ a̠ ɾ ɯ̟ᵝ
もんちゃく	m õ̞ ɲ̟ t͡ɕ a̠ k ɯ̟ᵝ
ねそべる	n e̞ s o̞ b e̞ ɾ ɯ̟ᵝ
くに	k ɯ̟ᵝ ɲ̟ i
ひだつ	ç i d a̠ t͡s ɨᵝ
さばよみ	s a̠ b a̠ j o̞ mʲ i
ろうしゅう	ɾ o̞ː ɕ ɨᵝː
さんぎょうかくめい	s ã̠ ŋʲ ɡʲ o̞ː k a̠ k ɯ̟ᵝ m e̞ː
ポプラ	p o̞ p ɯ̟ᵝ ɾ a̠
マリファナ	m a̠ ɾʲ i ɸ a̠ n a̠
ふち	ɸ ɯ̟ᵝ t͡ɕ i
ひろのり	ç i ɾ o̞ n o̞ ɾʲ i
もろもろ	m o̞ ɾ o̞ m o̞ ɾ o̞
なかおれぼうし	n a̠ k a̠ o̞ ɾ e̞ b o̞ː ɕ i
よせつ	j o̞ s e̞ t͡s ɨᵝ
くれる	k ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
ジョ	d͡ʑ o̞
さんらん	s ã̠ n ɾ ã̠ ɴ
ぼんやすみ	b õ̞ ɰ̃ j a̠ s ɨᵝ mʲ i
とうきょうと	t o̞ː kʲ o̞ː t o̞
にじゅうしち	ɲ̟ i ʑ ɨᵝː ɕ i t͡ɕ i
とかち	t o̞ k a̠ t͡ɕ i
うで	ɯ̟ᵝ d e̞
フロント	ɸ ɯ̟ᵝ ɾ õ̞ n t o̞
ぎふけん	ɡʲ i ɸ ɯ̟ᵝ k ẽ̞ ɴ
ことばづかい	k o̞ t o̞ b a̠ z ɨᵝ k a̠ i
はな	h a̠ n a̠
ブルーベリー	b ɯ̟ᵝ ɾ ɯ̟ᵝː b e̞ ɾʲ iː
ざんきん	d͡z ã̠ ŋʲ kʲ ĩ ɴ
みょうか	mʲ o̞ː k a̠
