らち	ɾ a t͡ɕ i
テクスト	t e k ɯ s ɨ t o
ちかん	t͡ɕ i k ã ɴ
アイコンタクト	a i k õ n t a k ɯ t o
こうずい	k o z ɨ i
あおざめ	a o z a m e
にらむ	ɲ i ɾ a m ɯ
いっさんかたんそ	i s ã ŋ k a t ã ɰ s o
ひとごえ	ç i t o ɡ o e
むろらん	m ɯ ɾ o ɾ ã ɴ
おきなわ	o kʲ i n a ɰ a
はんしゃきょう	h ã ɰ ɕ a kʲ o
そこぬけ	s o k o n ɯ k e
ふうしゅう	ɸ ɯ ɕ ɨ
どくせいがく	d o k ɯ s e ɡ a k ɯ
そくびょうい	s o k ɯ j o i
しらせる	ɕ i ɾ a s e ɾ ɯ
ポーン	p õ ɴ
こいし	k o i ɕ i
いっしょ	i ɕ o
まる	m a ɾ ɯ
コースター	k o s ɨ t a
あけび	a k e bʲ i
なたねあぶら	n a t a n e a b ɯ ɾ a
しきし	ɕ i kʲ i ɕ i
ギー	ɡʲ i
めす	m e s ɨ
つゆ	t͡s ɨ j ɯ
あぶら	a b ɯ ɾ a
すいそばくだん	s ɨ i s o b a k ɯ d ã ɴ
こども	k o d o m o
かんじご	k ã ɲ d͡ʑ i ɡ o
じんじゅうきょうつうかんせんしょう	d͡ʑ ĩ ɲ d͡ʑ ɨ kʲ o t͡s ɨ k ã ɰ s ẽ ɰ ɕ o
とうとい	t o t o i
こうげん	k o ɡ ẽ ɴ
おんなぞくちょう	õ n a d͡z o k ɯ t͡ɕ o
エベント	e b ẽ n t o
ゆうきゅう	j ɯ kʲ ɨ
こずえ	k o z ɨ e
かんがん	k ã ŋ ɡ ã ɴ
ニックネーム	ɲ i k̚ k ɯ n e m ɯ
ボルシチ	b o ɾ ɯ ɕ i t͡ɕ i
だんそう	d ã ɰ s o
ふくめる	ɸ ɯ k ɯ m e ɾ ɯ
ルーレット	ɾ ɯ ɾ e t̚ t o
キャンプファイア	kʲ ã m p ɯ ɸ ḁ i a
くちべに	k ɯ t͡ɕ i b e ɲ i
なんみん	n ã mʲ ĩ ɴ
ほる	h o ɾ ɯ
しょくん	ɕ o k ɯ ɴ
ありうる	a ɾʲ i ɯ ɾ ɯ
トークン	t o k ɯ ɴ
ふかし	ɸ ɯ k a ɕ i
たら	t a ɾ a
すえおき	s ɨ e o kʲ i
かわる	k a ɰ a ɾ ɯ
ないじゅ	n a i ʑ ɨ
テレパシー	t e ɾ e p a ɕ i
マスタープラン	m a s ɨ t a p ɯ ɾ ã ɴ
ひつよう	ç i t͡s ɨ j o
ミー	mʲ i
ブイ	b ɯ i
さぞ	s a z o
おいうつ	o i ɯ t͡s ɨ
おやこ	o j a k o
まかい	m a k a i
ゆうおう	j ɯ o
はんぶん	h ã m b ɯ ɴ
りくつづき	ɾʲ i k ɯ t͡s ɨ z ɨ kʲ i
じえいたい	d͡ʑ i e t a i
モッツァレラ	m o t̚ t͡s a ɾ e ɾ a
なきむし	n a kʲ i m ɯ ɕ i
ぎてい	ɡʲ i t e
ほしこ	h o ɕ i k o
ぶんさん	b ɯ ɰ s ã ɴ
ずる	d͡z ɨ ɾ ɯ
ちょろい	t͡ɕ o ɾ o i
おれ	o ɾ e
たく	t a k ɯ
うえもんふ	ɯ e m õ ɰ ɸ ɯ
しゅうだんか	ɕ ɨ d ã ŋ k a
って	t̚ t e
あねぶん	a n e b ɯ ɴ
ハットトリック	h a t̚ t o t o ɾʲ i k̚ k ɯ
いかけ	i k a k e
しゅうそく	ɕ ɨ s o k ɯ
だいいち	d a i i t͡ɕ i
ダックバーグ	d a k̚ k ɯ b a ɡ ɯ
ハーフ	h a ɸ ɯ
カレーライス	k a ɾ e ɾ a i s ɨ
たりかつよう	t a ɾʲ i k a t͡s ɨ j o
くわえて	k ɯ ɰ a e t e
うんも	ɯ m o
びょうゆう	bʲ o j ɯ
こうけつあつ	k o k e t͡s ɨ a t͡s ɨ
エクスビビット	e k ɯ s ɨ bʲ i bʲ i t̚ t o
ひきこなす	ç i kʲ i k o n a s ɨ
たけみや	t a k e mʲ i j a
とてい	t o t e
パワー	p a ɰ a
ぜんや	d͡z ẽ ɰ j a
にゅうしゅ	ɲ ɯ ɕ ɨ
ふぉ	ɸ o
あとまわし	a t o m a ɰ a ɕ i
カルマ	k a ɾ ɯ m a
はちぶんぎざ	h a t͡ɕ i b ɯ ŋʲ ɡʲ i z a
なんきょくかい	n ã ŋʲ kʲ o k ɯ k a i
へんしゅうちょう	h ẽ ɰ ɕ ɨ t͡ɕ o
げんかく	ɡ ẽ ŋ k a k ɯ
きんけい	kʲ ĩ ŋ k e
きぎょう	kʲ i ɡʲ o
プロメチウム	p ɯ ɾ o m e t͡ɕ i ɯ m ɯ
ぶどうしゅ	b ɯ d o ɕ ɨ
ダウジング	d a ɯ ʑ ĩ ŋ ɡ ɯ
ひにょうき	ç i ɲ o kʲ i
らんぼう	ɾ ã m b o
やっぱり	j a p̚ p a ɾʲ i
とけん	t o k ẽ ɴ
くわえる	k ɯ ɰ a e ɾ ɯ
ちょくぜん	t͡ɕ o k ɯ z ẽ ɴ
にだい	ɲ i d a i
うんでい	ɯ n d e
うすいほん	ɯ s ɨ i h õ ɴ
ワイドスクリーン	ɰ a i d o s ɨ k ɯ ɾʲ ĩ ɴ
ブースター	b ɯ s ɨ t a
ブルーズ	b ɯ ɾ ɯ z ɨ
パースニップ	p a s ɨ ɲ i p̚ p ɯ
レンジ	ɾ ẽ ɲ d͡ʑ i
べろ	b e ɾ o
カシミール	k a ɕ i mʲ i ɾ ɯ
けいいち	k e i t͡ɕ i
けいた	k e t a
ヴァージョン	b a ʑ õ ɴ
そんしつ	s õ ɰ ɕ i t͡s ɨ
ひょうげんがた	ç o ɡ ẽ ŋ ɡ a t a
パネェ	p a n e
まめでんきゅう	m a m e d ẽ ŋʲ kʲ ɨ
あほう	a h o
ゆう	j ɯ
にゅうこう	ɲ ɯ k o
ちゅうふく	t͡ɕ ɨ ɸ ɯ k ɯ
いずこ	i z ɨ k o
いんが	ĩ ŋ ɡ a
におう	ɲ i o ɯ
てんけん	t ẽ ŋ k ẽ ɴ
かけつ	k a k e t͡s ɨ
はかいかつどう	h a k a i k a t͡s ɨ d o
むかう	m ɯ k a ɯ
さいぎょう	s e k o
まっき	m a k̚ʲ kʲ i
かりる	k a ɾʲ i ɾ ɯ
ゆうそう	j ɯ s o
どたんば	d o t ã m b a
こばと	k o b a t o
こわだか	k o ɰ a d a k a
もうそう	m o s o
ねこ	n e k o
こうる	k o ɾ ɯ
よくぶかい	j o k ɯ b ɯ k a i
ざんきょう	d͡z ã ŋʲ kʲ o
なり	n a ɾʲ i
みちのり	mʲ i t͡ɕ i n o ɾʲ i
ひしゃかいしんど	ç i ɕ a k a i ɕ ĩ n d o
しぼりこむ	ɕ i b o ɾʲ i k o m ɯ
グロリア	ɡ ɯ ɾ o ɾʲ i a
かいはくしつ	k a i h a k ɯ ɕ i t͡s ɨ
ぼうふり	b o ɸ ɯ ɾʲ i
ジュテーム	d͡ʑ ɨ t e m ɯ
にじゅういち	ɲ i ʑ ɨ i t͡ɕ i
くれ	k ɯ ɾ e
おいご	o i ŋ o
ショール	ɕ o ɾ ɯ
うんだめし	ɯ n d a m e ɕ i
はらえど	h a ɾ a e d o
くだりざか	k ɯ d a ɾʲ i z a k a
はしごだか	h a ɕ i ɡ o d a k a
かぐらすず	k a ɡ ɯ ɾ a s ɨ z ɨ
かこうきりゅう	k a k o kʲ i ɾʲ ɨ
けいふ	k e ɸ ɯ
おしい	o ɕ i i
こきゅうてん	k o kʲ ɨ t ẽ ɴ
イスラーム	i s ɨ ɾ a m ɯ
キャラクター	kʲ a ɾ a k ɯ t a
よくじつ	j o k ɯ ʑ i t͡s ɨ
まっさつ	m a s a t͡s ɨ
よそみ	j o s o mʲ i
スラッシュ	s ɨ ɾ a ɕ ɯ
ぐり	ɡ ɯ ɾʲ i
かがくりょうろん	k a ɡ a k ɯ ɾʲ o ɾ õ ɴ
もくようび	m o k ɯ j o bʲ i
ぼんしょう	b õ ɰ ɕ o
バングラデシュ	b ã ŋ ɡ ɯ ɾ a d e ɕ ɨ
マイトネリウム	m a i t o n e ɾʲ i ɯ m ɯ
みずいらず	mʲ i z ɨ i ɾ a z ɨ
インスタ	ĩ ɰ s ɨ t a
はくとうわし	h a k ɯ t o ɰ a ɕ i
ようきし	j o kʲ i ɕ i
フィレミニョン	ɸʲ i ɾ e mʲ i ɲ õ ɴ
きば	kʲ i b a
はとば	h a t o b a
とうざい	t o z a i
せいぶん	s e b ɯ ɴ
ていたいせき	t e t a i s e kʲ i
ぎくんし	ɡʲ i k ɯ ɰ ɕ i
アーカイバー	a k a i b a
せきじゅん	s e kʲ i ʑ ɨ ɴ
えんせいしゅぎ	ẽ ɰ s e ɕ ɨ ɡʲ i
アップローダー	a p̚ p ɯ ɾ o d a
りんびょう	ɾʲ ĩ m bʲ o
とびうお	t o bʲ i ɯ o
こっぱい	k o p̚ p a i
じゅうじ	d͡ʑ ɨ ʑ i
しめい	ɕ i m e
しか	ɕ i k a
チッス	t͡ɕ i s ɯ
あまい	a m a i
まとう	m a t o ɯ
ぎし	ɡʲ i ɕ i
しじょう	ɕ i ʑ o
ほおべた	h o b e t a
とびちる	t o bʲ i t͡ɕ i ɾ ɯ
あみてん	a mʲ i t ẽ ɴ
すでに	s ɨ d e ɲ i
ほたい	h o t a i
つけこむ	t͡s ɨ k e k o m ɯ
ねずみざん	n e z ɨ mʲ i z ã ɴ
センテンス	s ẽ n t ẽ ɰ s ɨ
たんようき	t ã ɰ j o kʲ i
むらがる	m ɯ ɾ a ɡ a ɾ ɯ
もんちゃく	m õ ɲ t͡ɕ a k ɯ
ねそべる	n e s o b e ɾ ɯ
くに	k ɯ ɲ i
ひだつ	ç i d a t͡s ɨ
さばよみ	s a b a j o mʲ i
ろうしゅう	ɾ o ɕ ɨ
さんぎょうかくめい	s ã ŋʲ ɡʲ o k a k ɯ m e
ポプラ	p o p ɯ ɾ a
マリファナ	m a ɾʲ i ɸ a n a
ふち	ɸ ɯ t͡ɕ i
ひろのり	ç i ɾ o n o ɾʲ i
もろもろ	m o ɾ o m o ɾ o
なかおれぼうし	n a k a o ɾ e b o ɕ i
よせつ	j o s e t͡s ɨ
くれる	k ɯ ɾ e ɾ ɯ
ジョ	d͡ʑ o
さんらん	s ã n ɾ ã ɴ
ぼんやすみ	b õ ɰ j a s ɨ mʲ i
とうきょうと	t o kʲ o t o
にじゅうしち	ɲ i ʑ ɨ ɕ i t͡ɕ i
とかち	t o k a t͡ɕ i
うで	ɯ d e
フロント	ɸ ɯ ɾ õ n t o
ぎふけん	ɡʲ i ɸ ɯ k ẽ ɴ
ことばづかい	k o t o b a z ɨ k a i
はな	h a n a
ブルーベリー	b ɯ ɾ ɯ b e ɾʲ i
ざんきん	d͡z ã ŋʲ kʲ ĩ ɴ
みょうか	mʲ o k a
はくだつ	h a k ɯ d a t͡s ɨ
だいひょうだん	d a i ç o d ã ɴ
フォービスム	ɸ o bʲ i s ɨ m ɯ
きにする	kʲ i ɲ i s ɨ ɾ ɯ
かいせき	k a i s e kʲ i
くる	k ɯ ɾ ɯ
パートナー	p a t o n a
おかあさん	o k a s ã ɴ
ひたたれ	ç i t a t a ɾ e
コバルト	k o b a ɾ ɯ t o
かんじょう	k ã ɲ d͡ʑ o
みけねこ	mʲ i k e n e k o
タオル	t a o ɾ ɯ
みずさわ	mʲ i z ɨ s a ɰ a
ツイフェミ	t͡s ɨ i ɸ e mʲ i
ぎょりゅう	ɡʲ o ɾʲ ɨ
さよなら	s a j o n a ɾ a
したまわる	ɕ i t a m a ɰ a ɾ ɯ
ノンケ	n õ ŋ k e
ぶじそくさい	b ɯ ʑ i s o k ɯ s a i
たつや	t a t͡s ɨ j a
かんわじてん	k ã ɰ ɰ a ʑ i t ẽ ɴ
ごくしょ	ɡ o k ɯ ɕ o
にいづま	ɲ i z ɨ m a
いっちょういっせき	i t̚ t͡ɕ o i s e kʲ i
さんじゅう	mʲ i e
しゅゆ	ɕ ɨ j ɯ
なごん	n a ɡ õ ɴ
めんえきけい	m ẽ ɰ e kʲ i k e
スコピエ	s ɨ k o pʲ i e
あっせい	a s e
ゆざい	j ɯ z a i
なきがら	n a kʲ i ɡ a ɾ a
めいえん	m e ẽ ɴ
ヒットエンドラン	ç i t̚ t o ẽ n d o ɾ ã ɴ
きき	kʲ i kʲ i
うまい	ɯ m a i
サファイア	s a ɸ a i a
ワンタン	ɰ ã n t ã ɴ
しも	ɕ i m o
みみなり	mʲ i mʲ i n a ɾʲ i
かこう	k a k o ɯ
たきがわ	t a kʲ i ɡ a ɰ a
オバマ	o b a m a
うち	ɯ t͡ɕ i
ちゅうごくご	t͡ɕ ɨ ɡ o k ɯ ɡ o
とどける	t o d o k e ɾ ɯ
すげない	s ɨ ɡ e n a i
かざりだな	k a z a ɾʲ i d a n a
かばね	k a b a n e
インド	ĩ n d o
トースト	t o s ɨ t o
うきわ	ɯ kʲ i ɰ a
スルホン	s ɨ ɾ ɯ h õ ɴ
ぼうえいぐん	b o e ɡ ɯ ɴ
おとをたてる	o t o o t a t e ɾ ɯ
アノード	a n o d o
にちじょうさはんじ	ɲ i t͡ɕ i ʑ o s a h ã ɲ d͡ʑ i
ボウリングボール	b o ɾʲ ĩ ŋ ɡ ɯ b o ɾ ɯ
まうしろ	m a ɯ ɕ i ɾ o
ナイトテーブル	n a i t o t e b ɯ ɾ ɯ
みぢか	mʲ i ʑ i k a
おぐらやま	o ɡ ɯ ɾ a j a m a
えいれんぽう	e ɾ ẽ m p o
サパークラブ	s a p a k ɯ ɾ a b ɯ
いきごみ	i kʲ i ɡ o mʲ i
はらだち	h a ɾ a d a t͡ɕ i
キュリウム	kʲ ɨ ɾʲ i ɯ m ɯ
ぎょうかいがん	ɡʲ o k a i ɡ ã ɴ
じょおう	d͡ʑ o o
エリマキトカゲ	e ɾʲ i m a kʲ i t o k a ɡ e
ブラケット	b ɯ ɾ a k e t̚ t o
けながいたち	k e n a ɡ a i t a t͡ɕ i
さいていげん	s a i t e ɡ ẽ ɴ
はかどる	h a k a d o ɾ ɯ
インボイス	ĩ m b o i s ɨ
じょうと	d͡ʑ o t o
ほうか	h o k a
たてもの	t a t e m o n o
マクド	m a k ɯ d o
エンターテイメント	ẽ n t a t e m ẽ n t o
とどけで	t o d o k e d e
ナレーター	n a ɾ e t a
まひわ	m a ç i ɰ a
はゆ	h a j ɯ
せいこうしょう	s e k o ɕ o
がさん	ɡ a s ã ɴ
こんごういんこ	k õ ŋ ɡ o ĩ ŋ k o
てっつい	t e t̚ t͡s ɨ i
もだま	m o d a m a
けいほう	k e h o
あかねずみ	a k a n e z ɨ mʲ i
こいのぼり	k o i n o b o ɾʲ i
せいさんかくけい	s e s ã ŋ k a k ɯ k e
ホストファミリー	h o s ɨ t o ɸ a mʲ i ɾʲ i
トランスミッタ	t o ɾ ã ɰ s ɨ mʲ i t̚ t a
さいほくたん	s a i h o k ɯ t ã ɴ
せつない	s e t͡s ɨ n a i
ディクテーション	dʲ i k ɯ t e ɕ õ ɴ
キャッキャウフフ	kʲ a k̚ʲ kʲ a ɯ ɸ ɯ ɸ ɯ
スーパースター	s ɨ p a s ɨ t a
かれし	k a ɾ e ɕ i
しつどけい	ɕ i t͡s ɨ d o k e
パティシエ	p a tʲ i ɕ i e
シャープペンシル	ɕ a p ɯ  p ẽ ɰ ɕ i ɾ ɯ
にぎりしめる	ɲ i ɡʲ i ɾʲ i ɕ i m e ɾ ɯ
どくだんじょう	d o k ɯ d ã ɲ d͡ʑ o
くさち	k ɯ s a t͡ɕ i
かぎり	k a ɡʲ i ɾʲ i
まんじ	m ã ɲ d͡ʑ i
おんぞん	õ n d͡z õ ɴ
ざっとう	d͡z a t̚ t o
せっちゃくざい	s e t̚ t͡ɕ a k ɯ z a i
いんれつ	ĩ n ɾ e t͡s ɨ
かんせつわほう	k ã ɰ s e t͡s ɨ ɰ a h o
えし	e ɕ i
かよう	k a j o
とま	t o m a
ゴム	ɡ o m ɯ
ちゅうしょうめいし	t͡ɕ ɨ ɕ o m e ɕ i
きょうかん	kʲ o k ã ɴ
かくりつ	k a k ɯ ɾʲ i t͡s ɨ
すみれいろ	s ɨ mʲ i ɾ e i ɾ o
とうろく	t o ɾ o k ɯ
よみふける	j o mʲ i ɸ ɯ k e ɾ ɯ
おじいさん	o ʑ i s ã ɴ
センター	s ẽ n t a
あほうどり	a h o d o ɾʲ i
くろさぎ	k ɯ ɾ o s a ɡʲ i
ぐこう	ɡ ɯ k o
ルーメン	ɾ ɯ m ẽ ɴ
レモン	ɾ e m õ ɴ
あかるい	a k a ɾ ɯ i
ばくはつぶつ	b a k ɯ h a t͡s ɨ b ɯ t͡s ɨ
きびしい	kʲ i bʲ i ɕ i i
のうない	n o n a i
ただのひょうき	t a d a n o ç o kʲ i
いっしんいったい	i ɕ ĩ ɰ i t̚ t a i
せつえい	s e t͡s ɨ e
みみず	mʲ i mʲ i z ɨ
よこぎる	j o k o ɡʲ i ɾ ɯ
せいじょうき	s e ʑ o kʲ i
ミンスク	mʲ ĩ ɰ s ɨ k ɯ
バケツ	b a k e t͡s ɨ
りはつし	ɾʲ i h a t͡s ɨ ɕ i
やまのぼり	j a m a n o b o ɾʲ i
つうちひょう	t͡s ɨ t͡ɕ i ç o
しゅてん	ɕ u t e ɴ
じゅもく	d͡ʑ ɨ m o k ɯ
おいこむ	o i k o m ɯ
さんぶつげ	s ã m b ɯ t͡s ɨ ɡ e
バッグ	b a ɡ̚ ɡ ɯ
いなかもの	i n a k a m o n o
だらしない	d a ɾ a ɕ i n a i
しらぎ	ɕ i ɾ a ɡʲ i
ととのう	t o t o n o ɯ
せいきょく	s e kʲ o k ɯ
あいかぎ	a i k a ɡʲ i
かんらく	k ã n ɾ a k ɯ
ほうていしき	h o t e ɕ i kʲ i
くげ	k ɯ ɡ e
こうけい	k o k e
いわた	i ɰ a t a
おんなごころ	õ n a ɡ o k o ɾ o
ぎしょう	ɡʲ i ɕ o
どぶかわ	d o b ɯ k a ɰ a
こなみ	k o n a mʲ i
たまったもんじゃない	t a m a t̚ t a m õ ɲ d͡ʑ a n a i
いしづか	i ɕ i z ɨ k a
うもれる	ɯ m o ɾ e ɾ ɯ
ちゅうばち	t͡ɕ ɨ b a t͡ɕ i
こくすい	k o k ɯ s ɨ i
ぶんしょかん	b ɯ ɰ ɕ o k ã ɴ
みうしなう	mʲ i ɯ ɕ i n a ɯ
げんとうき	ɡ ẽ n t o kʲ i
ナルシシズム	n a ɾ ɯ ɕ i ɕ i z ɨ m ɯ
デフォルメ	d e ɸ o ɾ ɯ m e
ぶんぼう	b ɯ m b o
しんちゃ	ɕ ĩ ɲ t͡ɕ a
サポート	s a p o t o
ファシスト	ɸ a ɕ i s ɨ t o
あくどい	a k ɯ d o i
じょうげてん	d ʑ o ɡ e t e ɴ
さくらいろ	s a k ɯ ɾ a i ɾ o
あきなう	a kʲ i n a ɯ
かいせきりきがく	k a i s e kʲ i ɾʲ i kʲ i ɡ a k ɯ
おの	o n o
たち	t a t͡ɕ i
はこにわ	h a k o ɲ i ɰ a
きんらん	kʲ ĩ n ɾ ã ɴ
やすげっきゅう	j a s ɨ ɡ e k̚ʲ kʲ ɨ
りきがくけい	ɾʲ i kʲ i ɡ a k ɯ k e
いうまでもない	i ɯ m a d e m o n a i
カタルシス	k a t a ɾ ɯ ɕ i s ɨ
ぶっしつ	b ɯ ɕ i t͡s ɨ
おそ	o s o
ねがえり	n e ɡ a e ɾʲ i
ちなみに	t͡ɕ i n a mʲ i ɲ i
もし	m o ɕ i
だいそうげん	d a i s o ɡ ẽ ɴ
デビュー	d e bʲ ɨ
げきむ	ɡ e kʲ i m ɯ
たまゆら	t a m a j ɯ ɾ a
ざこ	d͡z a k o
かくぎ	k a k ɯ ɡʲ i
すいさんき	s ɨ i s ã ŋʲ kʲ i
ディーラー	dʲ i ɾ a
てんぺんちい	t ẽ m p ẽ ɲ t͡ɕ i
ぼはん	b o h ã ɴ
とりしらべる	t o ɾʲ i ɕ i ɾ a b e ɾ ɯ
しゃみせん	ɕ a mʲ i s ẽ ɴ
