ㄸㅓㄱㄱㅜㄱ	t ʌ k̚ k u k̚
ㅅㅜㅈㅣㅂㅎㅏㄷㅏ	sʰ u d͡ʑ i pʰ a d a
ㄱㅓㄹㅣ	k ɘ ɾ i
ㅅㅜㅇㅛㅇㅣㄹ	sʰ u j o i ɭ
ㅂㅏㅇㅈㅜ	p a ŋ d͡ʑ u
ㄱㅓㄹㅇㅡㅁ	k ʌ ɾ ɯ m
ㅅㅔㄱㅠㄴ	sʰ e ɡ j u n
ㅂㅗㄹㄱㅣ	p o ɭ ɡ i
ㅅㅗㅇㄱㅜ	sʰ o ŋ ɡ u
ㅇㅓㄹㅣㅅㅓㄱㄷㅏ	ʌ ɾ i sʰ ʌ k̚ t a
ㅊㅏㄹ	t͡ɕʰ a ɭ
ㅂㅏㅇㅣㅇㅗ	p a i o
ㅇㅓㅇㅜㄹㅓㅈㅣㄷㅏ	ʌ u ɾ ʌ d͡ʑ i d a
ㅅㅗㅇㄷㅗ	sʰ o ŋ d o
ㄱㅏㅍㅏㄹㅡㄷㅏ	k a pʰ a ɾ ɯ d a
ㅈㅗㅇㅛㅇ	t͡ɕ o j o ŋ
ㅇㅏㄴㅌㅡㄹㅏㅅㅔㄴ	a n tʰ ɯ ɾ a sʰ e n
ㅋㅡㄴㄱㅗㄴㅣ	k x ɯ n ɡ o n i
ㅇㅏㄹㄲㅏㄱㅣ	a ɭ k a ɡ i
ㅇㅘㅇㅂㅣ	w a ŋ b i
ㄷㅐㅇㅡㅇ	t ɛ ɯ ŋ
ㄱㅘㅇㄷㅜㅇ	k w a ŋ d u ŋ
ㅅㅣㄱㅅㅏㅎㅏㄷㅏ	ɕʰ i k s a ɦ a d a
ㄱㅗㅇㅈㅜㅇ	k o ŋ d͡ʑ u ŋ
ㅌㅟㄹㅡㅋㅡ	tʰ ɥ i ɾ ɯ k x ɯ
ㅁㅏㄴㄴㅏㅁ	m a n n a m
ㅋㅗㅁㅍㅗㅌㅡ	kʰ o m pʰ o tʰ ɯ
ㄴㅏㅇㅣ	n a i
ㄱㅝㄴㅊㅗㅇ	k w ɘ ɲ t͡ɕʰ o ŋ
ㄴㅏㄱㅎㅏㅎㅏㄷㅏ	n a kʰ a ɦ a d a
ㄱㅗㅇㅅㅗㄴㅎㅏㄷㅏ	k o ŋ sʰ o n ɦ a d a
ㄱㅗㅇㅎㅘㅇ	k o ŋ β w a ŋ
ㄱㅐㄷㅏ	k ɛ d a
ㅅㅏㄱㅖ	sʰ a k j e
ㅇㅚㄹㅗㅂㄷㅏ	w e ɾ o p̚ t a
ㅊㅜㄱㄱㅜ	t͡ɕʰ u k̚ k u
ㄱㅗㄹㅑㅇㅈㅜ	k o ɾ j a ŋ d͡ʑ u
ㅅㅡㅋㅗㅍㅔ	sʰ ɯ kʰ o pʰ e
ㅂㅜㄴㅍㅗㅎㅏㄷㅏ	p u n pʰ o ɦ a d a
ㅁㅜㅂㅣㅇㅇㅝㅋㅡ	m u b i ŋ w ʌ k x ɯ
ㅅㅏㅇㅣㄹㅔㄴ	s a i ɾ e n
ㅎㅡㄹㅡㄷㅏ	x ɯ ɾ ɯ d a
ㅘ	w a
ㅅㅗㄹㅣㅂㅈㅏ	sʰ o ɾ i p̚ t͡ɕ a
ㅅㅣㅊㅓㅇ	ɕʰ i t͡ɕʰ ʌ ŋ
ㄹㅏㅇㅣㅂㅔㄹㅣㅇㅏ	ɾ a i b e ɾ i a
ㅈㅣㄴㅇㅓㄴ	t͡ɕ i n ʌ n
ㅅㅣㅂㅊㅣㄹ	ɕʰ i p̚ t͡ɕʰ i ɭ
ㄱㅡㄴㅗㅅㅣㅅㅡ	k ɯ n o ɕʰ i sʰ ɯ
ㅇㅡㅁㅁㅗㄱ	ɯ m m o k̚
ㅈㅓㄱㅓㅅ	t͡ɕ ʌ ɡ ʌ t̚
ㅎㅡㄳ	x ɯ k̚
ㅋㅗㄹㅋㅏㅌㅏ	kʰ o ɭ kʰ a tʰ a
ㄱㅛㅊㅏㄹㅗ	k j o t͡ɕʰ a ɾ o
ㅂㅗㅁㄴㅏㄹ	p o m n a ɭ
ㄴㅔㅂㅏㄷㅏ	n e b a d a
ㅇㅡㅁㄹㅑㅇ	ɯ m ɲ j a ŋ
ㅈㅗㅊㅗㄹㅎㅏㄷㅏ	t͡ɕ o t͡ɕʰ o ɾ ɦ a d a
ㅇㅓㄹㄷㅏ	ɘ ɭ d a
ㅅㅡㅋㅔㅇㅣㅌㅡ	sʰ ɯ kʰ e i tʰ ɯ
ㅇㅔㅅㅡㅍㅏㄴㅑ	e sʰ ɯ pʰ a ɲ j a
ㅈㅓ	t͡ɕ ʌ
ㅈㅗㅎㄷㅏ	t͡ɕ o tʰ a
ㅍㅡㄹㅏㅅㅔㅇㅗㄷㅣㅁㅠㅁ	pʰ ɯ ɾ a sʰ e o d i m j u m
ㅂㅗㅈㅣ	p o d͡ʑ i
ㄲㅝㅇ	k w ʌ ŋ
ㅌㅜㄹ	tʰ u ɭ
ㅈㅓㅇㅊㅏㄹㅂㅕㅇ	t͡ɕ ʌ ŋ t͡ɕʰ a ɭ b j ʌ ŋ
ㅅㅏㅁㅅㅜ	sʰ a m sʰ u
ㅍㅓㄹㅅㅓ	pʰ ʌ ɭ sʰ ʌ
ㅇㅝㄹㅇㅣㄹ	w ʌ ɾ i ɭ
ㄷㅗㄹㅅㅏㅇㅇㅓ	t o ɭ sʰ a ŋ ʌ
ㅇㅣㅋㅡㄹㅏ	i k x ɯ ɾ a
ㅂㅜㅈㅓㄱ	p u d͡ʑ ʌ k̚
ㅁㅏㄴㅇㅠㅇㅣㄴㄹㅕㄱ	m a ɲ j u i ʎ ʎ j ʌ k̚
ㄴㅡㄹㅇㅓㅅㅓㄷㅏ	n ɯ ɾ ʌ sʰ ʌ d a
ㅅㅗㅇㅝㄴ	sʰ o w ʌ n
ㅇㅜㅁㅉㅏㄹ	u m t͡ɕ a ɭ
